Date,Close,Volume,Open,High,Low
7/11/2014,577.59,"1,621,700",570.34,579.26,569.86
7/14/2014,583.27,"1,854,000",581,583.61,576.45
7/15/2014,583.18,"1,623,000",584.14,584.2,574.98
7/16/2014,581.06,"1,397,100",586.39,586.79,580.61
7/17/2014,572.16,"3,016,500",577.94,579.4,567.05
7/18/2014,593.45,"4,014,100",591.38,595.17,580.41
7/21/2014,587.86,"2,062,100",590.13,592.77,583.63
7/22/2014,593.11,"1,699,100",589.1,598.01,588.98
7/23/2014,594.35,"1,233,100",591.61,596.21,590.88
7/24/2014,591.73,"1,035,100",594.82,597.86,590.15
7/25/2014,587.41,"932,400",588.78,590.24,585.42
7/28/2014,588.98,"986,800",586.46,590.88,583.15
7/29/2014,584.01,"1,349,800",587.14,588.09,581.92
7/30/2014,585.81,"1,016,400",584.94,587.89,582.4
7/31/2014,570.03,"2,102,700",579.01,582.05,568.44
8/1/2014,564.52,"1,955,200",568.84,574.38,561.31
8/4/2014,571.58,"1,427,300",567.48,573.77,562.56
8/5/2014,563.52,"1,551,200",568.49,570.41,561.07
8/6/2014,564.82,"1,334,300",560.24,569.14,558.47
8/7/2014,561.82,"1,110,900",566.44,568.33,559.56
8/8/2014,567.21,"1,494,700",562.02,568.69,558.82
8/11/2014,566.33,"1,214,700",568.43,568.93,564.45
8/12/2014,561.19,"1,542,000",562.97,564.35,559.34
8/13/2014,573.21,"1,439,200",565.76,573.43,564.2
8/14/2014,573.08,"985,400",574.6,576.32,569.32
8/15/2014,571.91,"1,519,100",576.28,577.79,568.96
8/18/2014,580.57,"1,284,100",574.53,582.91,574.42
8/19/2014,585.25,"978,600",583.4,585.73,582.4
8/20/2014,582.89,"1,036,700",584.28,585.09,580.97
8/21/2014,581.77,"914,800",582.22,582.9,579.55
8/22/2014,580.96,"789,000",581.99,583.63,579.05
8/25/2014,578.61,"1,361,400",583.12,583.4,577.41
8/26/2014,576.28,"1,639,600",579.67,580.21,575
8/27/2014,569.44,"1,703,300",575.69,576.91,568.54
8/28/2014,567.64,"1,292,900",568,571.68,565.55
8/29/2014,570.03,"1,083,700",569.77,570.47,565.52
9/2/2014,575.75,"1,578,400",570.28,576.25,569.63
9/3/2014,576.36,"1,215,100",578.41,581.39,573.43
9/4/2014,580.39,"1,458,100",578.41,584.4,577.63
9/5/2014,584.48,"1,632,300",582.38,584.94,580.36
9/8/2014,588.11,"1,431,000",584.99,590.15,584.69
9/9/2014,579.42,"1,287,200",587.29,587.39,578.41
9/10/2014,581.5,"977,300",579.91,581.9,575.36
9/11/2014,579.76,"1,221,000",578.77,580.22,574.68
9/12/2014,574.04,"1,601,600",579.41,580.05,572.89
9/15/2014,571.53,"1,597,500",571.37,573.38,566.65
9/16/2014,578.36,"1,480,300",571.19,579.91,571.09
9/17/2014,583.17,"1,692,800",578.42,585.91,577.19
9/18/2014,587.66,"1,444,500",585.39,587.93,583.4
9/19/2014,594.45,"3,736,600",589.88,594.85,587.89
9/22/2014,585.76,"1,689,500",592.19,592.32,581.86
9/23/2014,579.54,"1,471,400",585.24,585.24,579.41
9/24/2014,586.38,"1,728,100",579.87,588.02,578.93
9/25/2014,573.49,"1,925,900",585.94,586.37,572.61
9/26/2014,575.52,"1,443,600",574.48,577.66,573.09
9/29/2014,574.78,"1,282,400",570.18,576.61,569.61
9/30/2014,575.78,"1,621,700",575.35,578.26,571.28
10/1/2014,566.71,"1,445,400",574.43,576,565.46
10/2/2014,568.52,"1,178,400",565.76,570.34,561.78
10/3/2014,573.7,"1,141,700",571.48,575.64,570.93
10/6/2014,575.77,"1,214,600",577.22,579.41,572.87
10/7/2014,562.2,"1,911,300",572.83,573.69,562.2
10/8/2014,570.93,"1,990,800",564.02,572.31,555.96
10/9/2014,559.34,"2,524,800",569.62,569.93,557.53
10/10/2014,543,"3,081,900",556.19,563.58,542.56
10/13/2014,531.75,"2,581,600",543.5,548,531.64
10/14/2014,536.47,"2,222,500",537.42,545.69,531.71
10/15/2014,528.58,"3,719,300",529.56,531.34,516.88
